"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_86","Bin137",0.00186599705609584,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV_87","Bin139",0.00198325335443415,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA
"ASV_88","Bin59",0.00193220299325284,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","aurantiacus/chromofuscus/coelicoflavus/coeruleofuscus/diastaticus/fradiae/glaucescens/globosus/jeddahensis/mexicanus/pluripotens/sacchari/spinoverrucosus/spiralis/tunisiensis/viridiviolaceus"
"ASV_89","Bin109",0.00190827313644911,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Aridibacter","famidurans/nitratireducens"
"ASV_90","Bin159",0.00190481660157746,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV_91","Bin156",0.00191757919187278,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055",NA
"ASV_92","Bin138",0.00184924615633322,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","humi/insulae"
"ASV_93","Bin63",0.00183355880576188,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Promicromonosporaceae","Isoptericola","hypogeus/variabilis"
"ASV_94","Bin11",0.00178623086675005,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
"ASV_95","Bin137",0.00161739243263479,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV_96","Bin156",0.00173145808339927,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Ellin6055",NA
"ASV_97","Bin83",0.001752463179927,"Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA,NA
"ASV_98","Bin100",0.00174687954667279,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"ASV_99","Bin36",0.00169529741089585,"Bacteria","Chloroflexi","KD4-96",NA,NA,NA,NA
"ASV_100","Bin114",0.00165993440028588,"Bacteria","Planctomycetota","Planctomycetes",NA,NA,NA,NA
"ASV_101","Bin102",0.00168413014438744,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter",NA
